best,generations,runtime
0.823,387,17454.08677840233
0.823,388,17498.94886279106
0.823,389,17545.522613286972
0.823,390,17593.010967969894
0.823,391,17638.048880815506
0.823,392,17681.369658231735
0.823,393,17727.09584403038
0.823,394,17772.764661312103
0.823,395,17816.023956537247
0.823,396,17861.52877473831
0.823,397,17905.506298303604
0.823,398,17952.226147651672
0.823,399,17997.01270198822
0.823,400,18041.85003376007
0.823,401,18084.848155260086
0.823,402,18127.325085639954
0.823,403,18173.47396183014
0.823,404,18216.93971967697
0.823,405,18262.51513838768
0.823,406,18307.40394806862
0.823,407,18351.425745248795
0.823,408,18396.867428064346
0.823,409,18443.180193662643
0.823,410,18487.191222429276
0.823,411,18533.519467115402
0.823,412,18579.52326607704
0.823,413,18624.334339141846
0.823,414,18669.739171504974
0.823,415,18715.15978193283
0.823,416,18759.282058238983
0.823,417,18800.895802259445
0.823,418,18845.55255460739
0.823,419,18888.977529764175
0.823,420,18935.27931857109
0.823,421,18978.999512672424
0.823,422,19026.43855404854
0.823,423,19069.626358509064
0.823,424,19115.168189287186
0.823,425,19161.160087108612
0.823,426,19205.5352101326
0.823,427,19250.821731567383
0.823,428,19294.994271039963
0.823,429,19340.43712067604
0.823,430,19385.21938228607
0.823,431,19429.555030107498
0.823,432,19475.74157643318
0.823,433,19518.765341758728
0.823,434,19565.528998613358
0.823,435,19612.058921813965
0.823,436,19653.452996253967
0.823,437,19698.38197827339
0.823,438,19744.266590356827
0.823,439,19787.1934401989
0.823,440,19834.658543348312
0.823,441,19882.31847500801
0.823,442,19929.147222995758
0.823,443,19973.366855859756
0.823,444,20019.81881427765
0.823,445,20064.105494260788
0.823,446,20107.05216217041
0.823,447,20152.231995344162
0.823,448,20198.773703098297
0.823,449,20242.042248249054
0.823,450,20288.455142259598
0.823,451,20332.333375692368
0.823,452,20376.51139640808
0.823,453,20418.84118962288
0.823,454,20459.66216993332
0.823,455,20504.2229552269
0.823,456,20549.611217021942
0.823,457,20593.167537927628
0.823,458,20638.4891769886
0.823,459,20683.06402540207
0.823,460,20731.242151498795
0.823,461,20777.02291536331
0.823,462,20822.91558790207
0.823,463,20867.875601768494
0.823,464,20911.620661497116
0.823,465,20959.50315141678
0.823,466,21004.527293920517
0.823,467,21050.363352298737
0.823,468,21095.723088502884
0.823,469,21140.603853225708
0.823,470,21184.745905160904
0.823,471,21230.483016967773
0.823,472,21275.82417845726
0.823,473,21320.617247581482
0.823,474,21367.2356197834
0.823,475,21410.929491758347
0.823,476,21458.591812849045
0.823,477,21504.02106976509
0.823,478,21551.29461789131
0.823,479,21595.841544151306
0.823,480,21640.215059041977
0.823,481,21686.78010702133
0.823,482,21730.211579561234
0.823,483,21775.255492687225
0.823,484,21821.68288707733
0.823,485,21868.159503221512
